ImageName;NoiseLevel;WindowSize;MSE;PSNR;SSIM
Avia;0.05;3;75.1286;29.3728;0.882923
Avia;0.05;5;107.575;27.8137;0.84391
Avia;0.05;7;149.837;26.3746;0.821183
Avia;0.15;3;116.71;27.4597;0.856189
Avia;0.15;5;126.909;27.0959;0.837352
Avia;0.15;7;165.885;25.9327;0.816556
Avia;0.25;3;260.713;23.9692;0.745885
Avia;0.25;5;158.016;26.1438;0.827323
Avia;0.25;7;192.888;25.2778;0.809199
Brigada;0.05;3;19.7081;35.1844;0.988359
Brigada;0.05;5;71.6261;29.5801;0.957574
Brigada;0.05;7;138.26;26.7238;0.907846
Brigada;0.15;3;52.478;30.931;0.965582
Brigada;0.15;5;85.8634;28.7927;0.949266
Brigada;0.15;7;148.592;26.4109;0.901467
Brigada;0.25;3;203.653;25.0419;0.857188
Brigada;0.25;5;107.066;27.8343;0.937318
Brigada;0.25;7;166.412;25.919;0.892755
Siberia;0.05;3;28.4496;33.59;0.935337
Siberia;0.05;5;53.6709;30.8334;0.871744
Siberia;0.05;7;68.5206;29.7726;0.830607
Siberia;0.15;3;45.3414;31.5659;0.905757
Siberia;0.15;5;56.6982;30.5951;0.86729
Siberia;0.15;7;70.4645;29.6511;0.828011
Siberia;0.25;3;148.708;26.4074;0.769118
Siberia;0.25;5;61.3024;30.256;0.861785
Siberia;0.25;7;73.332;29.4779;0.825002
Walk;0.05;3;3.17038;43.1197;0.992924
Walk;0.05;5;5.90808;40.4163;0.983768
Walk;0.05;7;11.1334;37.6645;0.971493
Walk;0.15;3;15.908;36.1146;0.971245
Walk;0.15;5;7.7793;39.2214;0.981051
Walk;0.15;7;12.7274;37.0834;0.969357
Walk;0.25;3;123.299;27.2212;0.817482
Walk;0.25;5;10.8113;37.792;0.976817
Walk;0.25;7;15.2269;36.3047;0.966332
Yakovlev;0.05;3;11.2835;37.6064;0.907825
Yakovlev;0.05;5;17.8135;35.6233;0.859488
Yakovlev;0.05;7;22.2386;34.6597;0.847235
Yakovlev;0.15;3;24.2156;34.2898;0.882237
Yakovlev;0.15;5;19.8178;35.1602;0.855929
Yakovlev;0.15;7;23.8452;34.3568;0.844983
Yakovlev;0.25;3;127.351;27.0808;0.744662
Yakovlev;0.25;5;22.4452;34.6196;0.850323
Yakovlev;0.25;7;25.8033;34.0141;0.841767
